agent_number,season,trend_likelihood,period_start,period_end,p_value,slope,conf_low,conf_high,conf_level,intercept,r_squared,sigma,trend_method,n,note,s,var_s,tau,z,alternative,lat,lon,site
1056,Annual,NA,1960-01-01,2019-12-31,0.5905374230419722,1.2721367046401737,-3.336105862852766,5.880379272133113,0.95,1604.296497175142,0.005022021428237117,315.4010724916998,Linear model,60,NA,NA,NA,NA,NA,NA,-35.183,173.926,Kerikeri
1287,Annual,NA,1960-01-01,2019-12-31,0.005172971413923483,-5.957568769102525,-9.975410044867417,-1.9397274933376325,0.95,1573.560847457627,0.1271101441513588,274.992348800573,Linear model,60,NA,NA,NA,NA,NA,NA,-35.769,174.364,Whangarei
1400,Annual,NA,1960-01-01,2019-12-31,0.08890175785543478,-2.267513198110576,-4.836052631194299,0.3010262349731474,0.95,1150.6458192090386,0.049083738618139805,175.79805751687357,Linear model,60,NA,NA,NA,NA,NA,NA,-36.606,174.835,Whangaparaoa
15752,Annual,NA,1960-01-01,2019-12-31,0.4655607303676388,0.5490552931369862,-0.9159213640035367,2.0140319502775093,0.95,678.0721468926549,0.009217586748325823,100.26711963836613,Linear model,60,NA,NA,NA,NA,NA,NA,-45.90129,170.5147,Dunedin
1615,Annual,NA,1960-01-01,2019-12-31,0.03698985586722701,-4.1188996943595395,-7.8999663399464275,-0.33783304877265197,0.95,1399.1864406779655,0.07286903866449007,258.78682767115976,Linear model,60,NA,NA,NA,NA,NA,NA,-37.673,176.196,Tauranga
1770,Annual,NA,1960-01-01,2019-12-31,0.13024901445830928,-3.1341289247013,-7.136234574819742,0.867976725417142,0.95,1497.0825988700558,0.03903311638588486,273.9153583573554,Linear model,60,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,Rotorua
1858,Annual,NA,1960-01-01,2019-12-31,0.8152820614833611,0.3029008057793836,-2.2267971010081293,2.832598712566896,0.95,932.9948587570622,9.486795112180579e-4,173.139634295523,Linear model,60,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,Taupo
1962,Annual,NA,1960-01-01,2019-12-31,0.2348359458891368,-1.4501222561822715,-3.8176789728724483,0.9174344605079054,0.95,1165.790395480226,0.024244740613374397,162.04223555776468,Linear model,60,NA,NA,NA,NA,NA,NA,-37.00813,174.78873,Auckland
2112,Annual,NA,1960-01-01,2019-12-31,0.9538753365333568,-0.0733620450125022,-2.5485380732705356,2.4018139832455314,0.95,1227.6925423728815,5.817998407389736e-5,169.40800369869538,Linear model,60,NA,NA,NA,NA,NA,NA,-37.86088,175.33175,Hamilton
2250,Annual,NA,1960-01-01,2019-12-31,0.04304908339984584,2.4815921089191413,0.13035070665679482,4.832833511181487,0.95,1244.2964406779665,0.06870993186197812,160.925569585171,Linear model,60,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,Taumarunui
2283,Annual,NA,1960-01-01,2019-12-31,0.024625897558751608,-3.3660683523200836,-6.225388278217826,-0.5067484264223414,0.95,1556.901751412429,0.08407173489309466,195.69989166513577,Linear model,60,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,New Plymouth
2534,Annual,NA,1960-01-01,2019-12-31,0.16564420835440974,-1.6596888024451222,-3.976553025858278,0.657175420968034,0.95,1072.5571751412426,0.032870402646338774,158.57269884985894,Linear model,60,NA,NA,NA,NA,NA,NA,-40.21,176.109,Dannevirke
25354,Annual,NA,1960-01-01,2019-12-31,0.4032640984954572,-1.303556543484301,-4.338022205941556,1.7309091189729542,0.95,1356.9418079096047,0.01207500872984059,207.68735811121576,Linear model,60,NA,NA,NA,NA,NA,NA,-41.285,174.768,Wellington
2810,Annual,NA,1960-01-01,2019-12-31,0.7373583290428389,0.44495415393164955,-2.1431180103665923,3.0330263182298918,0.95,1015.7138983050846,0.0019538740692246113,177.1349325366933,Linear model,60,NA,NA,NA,NA,NA,NA,-38.6586,177.9851,Gisborne
2997,Annual,NA,1960-01-01,2019-12-31,0.9350909990406525,-0.08777993887190956,-2.1911430468575244,2.0155831691137056,0.95,757.65395480226,1.1534005058381659e-4,143.9600824786996,Linear model,60,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,Napier
3629,Annual,NA,1960-01-01,2019-12-31,0.10294294345073624,1.600358432898029,-0.29273797059849005,3.493454836394548,0.95,1012.2474011299435,0.045193166489228095,129.56883828227353,Linear model,60,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,Waiouru
3715,Annual,NA,1960-01-01,2019-12-31,0.011296796791499534,2.500750208391221,0.62776853673474875,4.373731880047694,0.95,822.3271186440677,0.10560209498079602,128.19212950396698,Linear model,60,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,Whanganui
37662,Annual,NA,1960-01-01,2019-12-31,0.3986029612317342,1.08627118644068,-1.4173351367638907,3.589877509645251,0.95,841.9970621468924,0.012314906760565335,171.35385298637115,Linear model,60,NA,NA,NA,NA,NA,NA,-40.957,175.707,Masterton
3909,Annual,NA,1960-01-01,2019-12-31,0.121669050504421,3.61881911642122,-0.8965589928312654,8.134197225673706,0.95,2749.651016949153,0.040805650496241394,309.0451679800728,Linear model,60,NA,NA,NA,NA,NA,NA,-42.71228,170.98428,Hokitika
3925,Annual,NA,1960-01-01,2019-12-31,0.20202733299199602,-2.7859016393442584,-7.0173052274403345,1.4455019487518177,0.95,2025.4999999999998,0.027908593509705877,289.6091536598076,Linear model,60,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,Reefton
4107,Annual,NA,1960-01-01,2019-12-31,0.08871530598868149,13.697296471242009,-1.8091084914608224,29.20370143394484,0.95,6139.154124293785,0.0491396861629272,1061.3019354117544,Linear model,60,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,Milford Sound
4241,Annual,NA,1960-01-01,2019-12-31,0.9771275328413582,0.04366212836898864,-2.928326420709613,3.0156506774475904,0.95,983.384971751413,1.4294781487556424e-5,203.4112488836294,Linear model,60,NA,NA,NA,NA,NA,NA,-41.299,173.226,Nelson
