X,Y,OBJECTID,Siteno,Name,NZTM_E,NZTM_N,Region,Operator,Funder,Area_km2,No_years,L1_mean,L2,Lcv,T3_Lskew,T4_Lkurt,Gumb_u,Gumb_alpha,GEV_u,GEV_alpha,GEV_k,GEV_z,Data_2_33y,Data_5y,Data_10y,Data_20y,Data_50y,Data_100y,Data_250y,Data_500y,Data_1000y,se_2_33y,se_5y,se_10y,se_20y,se_50y,se_100y,se_250y,se_500y,se_1000y
1615597,6135971,1,802,Selwyn Swamp at Big Flat Rd,1615597,6135971,NRC,NRC,NRC,1.74,31,1.4292,0.35763,0.25022,0.15713,0.033269,1.1314,0.51595,1.1359,0.5254,0.020003,0.14839,1.429922641,1.905294036,2.292477023,2.663872239,3.144605251,3.504846994,3.979164137,4.337310668,4.695198254,7%,8%,9%,9%,10%,11%,12%,12%,12%
1624354,6114008,2,1316,Awanui at School Cut,1624354,6114008,NRC,NIWA,MBIE,222,55,146.5824,29.3912,0.20051,0.059549,0.0847,122.107,42.4025,125.8556,48.8201,0.17963,1.7749,146.640591,185.7082053,217.5282006,248.050704,287.5589539,317.1648276,356.1457999,385.579482,414.9918831,5%,5%,6%,7%,8%,8%,9%,9%,10%
1624425,6113399,3,1335,Tarawhataroa at Puriri Place,1624425,6113399,NRC,NRC,NRC,23.5,8,58.2883,29.6124,0.50803,0.67155,0.47755,33.6286,42.7217,26.6908,12.8419,-0.6599,-2.4869,58.34687638,97.70858613,129.7681178,160.5203904,200.3260528,230.1547952,269.4292107,299.0844655,328.7182789,9%,8%,8%,8%,8%,8%,9%,9%,9%
1646631,6118068,4,1903,Oruru at Saleyards,1646631,6118068,NRC,NIWA,MBIE,79,22,70.1366,9.5852,0.13666,0.085085,0.15468,62.1545,13.8285,63.0658,15.4594,0.1366,0.85366,70.1555085,82.89642011,93.27370459,103.227845,116.1124587,125.7676636,138.4803191,148.0793681,157.6714767,5%,6%,7%,9%,10%,11%,12%,12%,13%
1644928,6113462,5,1909,Peria at Honeymoon Valley,1644928,6113462,NRC,NIWA,MBIE,27.2,6,64.5815,11.0506,0.17111,0.062422,-0.21985,55.3791,15.9427,56.7472,18.2966,0.17474,0.57029,64.60335992,79.29219323,91.25603119,102.7320318,117.5865374,128.7178991,143.3741563,154.4407765,165.4993954,13%,16%,19%,21%,24%,26%,27%,29%,30%
1680463,6100567,6,3506,Maungaparerua at Tyrees Ford,1680463,6100567,NRC,NIWA,MBIE,11.1,46,47.8694,10.8903,0.2275,0.073392,0.1058,38.8006,15.7113,39.9956,17.8069,0.15618,1.4114,47.89097458,62.36660711,74.15679619,85.46622862,100.1051288,111.0749245,125.5184538,136.4244478,147.3225566,6%,6%,7%,8%,9%,10%,10%,11%,11%
1695269,6095808,7,3722,Waitangi at Wakelins,1695269,6095808,NRC,NIWA,MBIE,302,34,240.7094,66.3461,0.27563,0.36847,0.27952,185.4599,95.7172,175.1178,67.6542,-0.28734,-2.2324,240.8407534,329.0299557,400.8587595,469.7586727,558.9425429,625.7733036,713.7669247,780.2089892,846.603015,5%,5%,6%,7%,7%,8%,8%,8%,8%
1692600,6082736,8,3819,Waiharakeke at Willowbank,1692600,6082736,NRC,NRC,NRC,229,44,88.9733,23.2839,0.2617,0.18893,0.24066,69.5837,33.5916,69.1255,32.6681,-0.029362,-0.25951,89.01940721,119.9690841,145.1771391,169.3573107,200.6560626,224.1100728,254.9911111,278.3087098,301.6094494,6%,6%,7%,8%,8%,9%,9%,10%,10%
1729750,6059610,9,4901,Ngunguru at Dugmores Rock,1729750,6059610,NRC,NRC,NRC,12.5,24,55.642,16.4422,0.2955,0.14889,0.078638,41.9498,23.7211,42.3002,24.4337,0.032998,0.21539,55.67455126,77.53002642,95.33098841,112.4060985,134.5080771,151.0703998,172.8774051,189.3433993,205.7974883,10%,10%,11%,12%,13%,14%,14%,15%,15%
1721963,6054472,10,5513,Glenbervie at Quarry,1721963,6054472,NRC,NIWA,MBIE,0.63,11,2.8075,1.1316,0.40305,0.1495,0.14344,1.8652,1.6325,1.8886,1.6802,0.032044,0.1416,2.809745423,4.313852028,5.538924662,6.714043744,8.235114859,9.374943613,10.87571449,12.00891386,13.1412939,20%,19%,20%,21%,22%,23%,23%,24%,24%
1722706,6054911,11,5515,Glenbervie at Pines,1722706,6054911,NRC,NIWA,MBIE,0.155,11,0.64323,0.22168,0.34465,0.11203,0.042767,0.45862,0.31982,0.47251,0.34589,0.092179,0.40734,0.643664115,0.938330807,1.178332479,1.408547845,1.706538022,1.929839726,2.223852922,2.445855875,2.667698317,18%,18%,19%,20%,22%,23%,24%,24%,25%
1722148,6054559,12,5516,Glenbervie at Log Br,1722148,6054559,NRC,NIWA,MBIE,0.126,11,0.75744,0.24853,0.32811,0.17359,0.0011258,0.55049,0.35855,0.54938,0.35665,-0.0056977,-0.025178,0.75794284,1.088293482,1.357359205,1.615453507,1.949530106,2.199873505,2.529491514,2.778378885,3.027086306,16%,16%,17%,18%,20%,21%,21%,22%,22%
1718945,6047233,13,5519,Waiarohia at Russell Rd,1718945,6047233,NRC,NIWA,MBIE,16.2,10,51.7823,17.6247,0.34036,0.058496,0.065679,37.1054,25.4271,39.3775,29.3099,0.18142,0.76439,51.81722292,75.24452404,94.32571507,112.6288516,136.3203844,154.0738544,177.4491997,195.0994133,212.7368654,20%,20%,21%,23%,24%,25%,26%,27%,28%
1727196,6015934,14,6004,Ahuroa at Rowntrees,1727196,6015934,NRC,NIWA,MBIE,60.9,6,187.2855,38.1836,0.20388,-0.34713,0.061391,155.4882,55.0873,188.3313,76.1068,1.035,3.3778,187.361068,238.115844,279.4548601,319.1082367,370.4354654,408.8980005,459.5402154,497.7790474,535.9902322,19%,22%,25%,28%,31%,33%,36%,37%,38%
1731462,6014128,15,6007,Waionehu at McLean Rd,1731462,6014128,NRC,NRC,NRC,24.5,31,23.8209,2.3743,0.099673,-0.066984,0.20218,21.8437,3.4254,22.588,4.4354,0.40794,3.0263,23.82559641,26.98159443,29.55210824,32.01780681,35.20940068,37.60105116,40.75004998,43.12779032,45.50381152,4%,5%,6%,7%,8%,9%,10%,10%,11%
1727166,6011180,16,6014,Ahuroa at Durham Rd,1727166,6011180,NRC,NRC,NRC,18.6,16,41.5993,8.8078,0.21173,-0.0012386,0.028804,34.2647,12.7069,36.129,15.5725,0.286,1.5243,41.61676385,53.32428742,62.85989259,72.00667401,83.84624433,92.71833621,104.3998955,113.2203861,122.0344995,10%,11%,13%,15%,16%,17%,19%,19%,20%
1727244,6022015,17,6015,North at Applecross Rd,1727244,6022015,NRC,NRC,NRC,38.4,28,43.5779,9.7216,0.22309,-0.14752,0.082814,35.4822,14.0253,39.8871,19.068,0.56851,4.0082,43.59707468,56.5193083,67.04427688,77.14007943,90.20806026,100.000673,112.8942483,122.629906,132.3585245,9%,10%,11%,12%,14%,15%,16%,16%,17%
1728897,6014520,18,6016,Waihoihoi at St Marys Rd,1728897,6014520,NRC,NRC,NRC,25.1,29,24.271,6.2263,0.25653,0.31383,0.30683,19.086,8.9827,18.3242,7.0758,-0.21227,-1.523,24.28328525,32.55951092,39.30037459,45.76637286,54.13594438,60.40776046,68.66563157,74.90096997,81.13180012,6%,6%,7%,8%,8%,9%,9%,10%,10%
1727265,6015019,19,6018,Ahuroa at Braigh,1727265,6015019,NRC,NRC,NRC,57,30,75.9671,17.2467,0.22703,0.087001,0.24491,61.605,24.8817,63.2039,27.7525,0.13341,0.97357,76.00126086,98.92605677,117.5979647,135.5085071,158.6918671,176.064533,198.9384876,216.2101119,233.4692485,7%,8%,9%,10%,11%,12%,12%,13%,13%
1755672,5978256,20,6501,Tamahunga at Quintals Falls,1755672,5978256,AC,AC,AC,7.97,35,27.8335,9.5658,0.34368,0.27512,0.24508,19.8676,13.8006,18.9637,11.6661,-0.15734,-1.2402,27.85246589,40.56767178,50.92401934,60.85807655,73.71669464,83.35241942,96.03942623,105.6191084,115.1918643,8%,7%,8%,9%,9%,10%,10%,10%,10%
1821337,5992019,21,6922,Awana at Bush Edge,1821337,5992019,AC,NIWA,MBIE,11.4,12,37.3164,14.241,0.38163,0.24512,0.4047,25.4573,20.5454,24.4534,18.2838,-0.11371,-0.52482,37.34462835,56.274167,71.69199689,86.48114947,105.6241905,119.9692059,138.8567637,153.1183467,167.3696183,15%,15%,16%,17%,18%,18%,19%,19%,20%
1748207,5948680,22,7202,Orewa at Kowhai Ave,1748207,5948680,AC,AC,AC,9.73,32,34.2518,11.5945,0.33851,0.19414,0.17296,24.5965,16.7273,24.31,16.1408,-0.037326,-0.28133,34.27472031,49.68644614,62.23906939,74.27984699,89.86539851,101.5445762,116.9221227,128.5333728,140.1362277,9%,9%,10%,10%,11%,11%,12%,12%,12%
1748203,5950680,23,7206,West Hoe at Halls,1748203,5950680,AC,AC,AC,0.35,10,1.6442,0.2588,0.1574,0.012816,0.20351,1.4287,0.37337,1.4782,0.45145,0.26089,1.0992,1.644727519,1.988732593,2.268919649,2.5376818,2.885566837,3.146257717,3.489499875,3.748674544,4.007661826,10%,11%,14%,16%,18%,19%,21%,22%,23%
1756149,5928099,24,7604,Wairau at Motorway,1756149,5928099,AC,AC,AC,10.98,46,8.1676,6.1993,0.75901,0.54208,0.16384,3.0051,8.9437,1.634,4.1329,-0.509,-4.5997,8.179820305,16.42011326,23.13171027,29.56963525,37.90286877,44.14745464,52.36947273,58.57773929,64.78151717,8%,6%,5%,5%,6%,6%,6%,6%,6%
1744530,5933094,25,7805,Rangitopuni at Walkers,1744530,5933094,AC,AC,AC,81.5,38,103.3856,32.809,0.31735,0.18249,0.059386,76.064,47.3334,75.6259,46.4749,-0.019455,-0.15979,103.4505521,147.0612594,182.5815369,216.6534398,260.7560233,293.8047034,337.3186933,370.1751581,403.0078672,8%,8%,9%,9%,10%,10%,11%,11%,11%
1751309,5933557,26,7811,Oteha at Days Br,1751309,5933557,AC,AC,AC,12.2,32,28.7869,8.5068,0.29551,0.16085,0.14057,21.7029,12.2727,21.7765,12.4325,0.014176,0.10684,28.8037408,40.11121348,49.3209831,58.15521523,69.59022257,78.15915142,89.441547,97.96063787,106.4735693,8%,8%,9%,10%,11%,11%,12%,12%,13%
1742176,5915573,27,7904,Opanuku at Candia Rd Br,1742176,5915573,AC,AC,AC,23.5,6,33.3512,6.2357,0.18697,-0.28512,0.05739,28.1584,8.9962,32.685,12.5936,0.8778,2.8648,33.36349619,41.65216011,48.40315455,54.8788705,63.26102055,69.54226247,77.81254425,84.05725367,90.29744807,17%,21%,24%,27%,30%,33%,35%,36%,37%
1743866,5919875,28,7907,Swanson at Woodside Reserve,1743866,5919875,AC,AC,AC,22.6,19,53.0733,13.3366,0.25129,0.014743,0.11197,41.9673,19.2407,44.4828,23.2205,0.25747,1.4953,53.09974418,70.8271953,85.26594263,99.11593573,117.0433311,130.4773912,148.1655274,161.5214533,174.8677226,11%,12%,13%,15%,16%,17%,18%,18%,19%
1745474,5916179,29,7911,Oratia at Millbrook Rd,1745474,5916179,AC,AC,AC,27.2,13,58.93,18.9531,0.32162,0.296,0.139,43.1469,27.3436,41.0629,22.2646,-0.18715,-0.89907,58.96758743,84.16065902,104.6800441,124.3627308,149.8399499,168.9315404,194.0687402,213.0492916,232.0161197,11%,12%,13%,14%,15%,15%,16%,16%,17%
1744672,5917277,30,7912,Opanuku at Vintage Reserve,1744672,5917277,AC,AC,AC,6.26,13,49.0321,10.5593,0.21536,-0.11657,-0.049245,40.2389,15.2339,44.4366,20.3783,0.50522,2.4271,49.05305652,63.08883576,74.52077083,85.4865574,99.68064332,110.3171133,124.3217648,134.8963717,145.463333,13%,14%,16%,18%,20%,21%,23%,24%,24%
1749321,5913489,31,8001,Rewarewa at Gardeners Ave,1749321,5913489,AC,NIWA,MBIE,1.34,8,4.7969,1.4852,0.30961,-0.16267,-0.068961,3.5601,2.1427,4.2747,2.9327,0.60026,2.2621,4.799841181,6.77402141,8.381962072,9.92433736,11.92078396,13.41683975,15.38664175,16.87399628,18.36027544,24%,25%,27%,29%,32%,33%,35%,36%,36%
1771896,5912898,32,8203,Manukau at Somervilles,1771896,5912898,AC,NIWA,MBIE,0.3,16,1.389,0.50368,0.36263,0.34793,0.2778,0.96953,0.72666,0.89697,0.53563,-0.25945,-1.3828,1.389966984,2.059476391,2.604781922,3.12785208,3.804912745,4.312274437,4.980299043,5.484709855,5.98875597,10%,10%,11%,12%,12%,13%,13%,14%,14%
1767454,5907434,33,8204,Otara at Bond St Br,1767454,5907434,AC,AC,AC,6.23,12,13.1716,3.3199,0.25205,0.21313,0.016865,10.4069,4.7897,10.2658,4.4886,-0.066126,-0.30521,13.17816445,17.59116255,21.18548439,24.63324418,29.09601559,32.44023475,36.84344595,40.16821471,43.49057961,11%,12%,13%,14%,16%,17%,18%,18%,19%
1767100,5907900,34,8208,Otara at Hills Rd,1767100,5907900,AC,AC,AC,12.5,21,26.4213,6.0158,0.22769,0.13549,0.20318,21.4116,8.679,21.6278,9.1037,0.054314,0.33163,26.43316798,34.42957915,40.94253803,47.18992457,55.27652561,61.33629514,69.31497231,75.33949745,81.35966676,8%,9%,10%,11%,13%,13%,14%,15%,15%
1772384,5910533,35,8304,Maungamaungaroa ay Breadman,1772384,5910533,AC,AC,AC,11.1,13,6.6609,1.719,0.25807,0.1093,0.084223,5.2295,2.4799,5.3427,2.6913,0.09664,0.46426,6.66434116,8.949201173,10.81018594,12.5952872,14.90591768,16.63741007,18.91720284,20.63862465,22.35880185,12%,13%,15%,16%,18%,19%,20%,20%,21%
1788444,5891699,36,8501,Wairoa at Weir,1788444,5891699,AC,Watercare,WaterCare Services,12.67,15,31.1933,9.1067,0.29194,0.25381,0.27703,23.6098,13.1381,22.9025,11.5225,-0.12644,-0.65248,31.21135113,43.31616154,53.17535098,62.6325222,74.87386028,84.04702056,96.12498559,105.2447936,114.3580078,10%,11%,12%,13%,14%,15%,15%,16%,16%
1782668,5901639,37,8516,Wairoa at Tourist Rd Br,1782668,5901639,AC,AC,AC,149.9,33,110.6416,33.2505,0.30052,0.23875,0.10807,82.9523,47.9704,80.7872,43.1426,-0.10432,-0.79846,110.7074129,154.9050211,190.9033208,225.4337542,270.1298582,303.6232985,347.7228877,381.0215259,414.2960886,7%,7%,8%,9%,10%,10%,11%,11%,11%
1783722,5891354,38,8529,Mangawheau at Weir,1783722,5891354,AC,AC,AC,30.4,24,33.8295,9.6935,0.28654,0.30545,0.13626,25.7573,13.9848,24.6269,11.1905,-0.20049,-1.3087,33.84874186,46.73366073,57.228237,67.29488652,80.32513174,90.08946691,102.9458103,112.6533549,122.3538807,7%,7%,8%,9%,10%,10%,11%,11%,11%
1799294,5906587,39,8604,Orere at Bridge,1799294,5906587,AC,NIWA,MBIE,40.8,31,58.4885,18.8878,0.32293,0.31631,0.29255,42.7598,27.2494,40.4173,21.3641,-0.21574,-1.6004,58.52598441,83.63226468,104.0809594,123.6958384,149.0852873,168.1111063,193.1617073,212.0768698,230.9783563,7%,7%,8%,8%,9%,9%,10%,10%,10%
1805837,5871390,40,9009,Waitakaruru at Quarry Rd Weir,1805837,5871390,WRC,WRC,WRC,21.3,16,13.6212,4.3449,0.31898,0.3074,0.16907,10.003,6.2683,9.4905,4.9976,-0.20324,-1.0832,13.62976513,19.40507382,24.10897752,28.62107488,34.46152209,38.8381154,44.60061593,48.95175441,53.29974696,10%,10%,11%,12%,13%,13%,14%,14%,15%
